Slno,Item Code,Item Name,Units/Pack,Pack Name,MRP,SOH In Packs
1,77441,-Hansaplast  Regular 1s,1,No(s),1.88,99
2,77444,-Hansaplast  Washproof 1s,1,No(s),3,228
3,99896,2 Baconil Mint Sugar Free Chew Gum 4mg 10s,10,10s,68.52,2
4,110891,2 Baconil Nicotine Gum Mint Flavour Chew Gum 2mg 30s,30,30s,244,1
5,99893,2 Baconil TTS20 Patches 14mg/24h 1x7,1,No(s),825.75,11
6,99894,2 Baconil TTS30 Patches 21mg/24h 1x7,1,No(s),1040.16,8
7,111259,4711 Deodorants Original Men  150ml,1,No(s),850,2
8,101864,8 X Shampoo   120ml,1,No(s),505.84,4
9,11677,A Ret Gel 0.025% 20gm,1,No(s),126,2
10,13039,A Ret Gel 0.05% 20gm,1,No(s),162,4
11,13038,A Ret Gel 0.1% 20gm,1,No(s),224,2
12,9348,A To Z Gold Cap  15s,15,15s,241.1,3
13,109541,A To Z Oral Drops  30ml,1,No(s),133.45,2
14,84680,A To Z Syrup  200ml,1,No(s),205.55,2
15,14199,A To Z Tab  15s,15,15s,170.85,13
16,105862,Ab Flo Cap 100mg 15s,15,15s,279.7,1
17,83513,Ab Flo SR Tab 200mg 10s,10,10s,292.3,2
18,105733,Ab Phylline Cap 100mg 15s,15,15s,248.91,1
19,91814,Ab Phylline N Tab  10s,10,10s,235.31,1
20,67454,AB Phylline SR Tab 200mg 10s,10,10s,312,2
21,89279,Abel Tab 40mg 10s,10,10s,158.05,3
22,47822,Absolut 3G Cap  10s,10,10s,205,3
23,78264,Absolut Woman Cap  10s,10,10s,255,2
24,106126,Abzorb Dusting Powder 1%w/w 120gm,1,No(s),150,5
25,9736,Acamprol Tab 333mg 6s,6,6s,117.19,10
26,111365,Acamptas Tab 333mg 10s,10,10s,200.78,8
27,18,Accuchek Active Glucose Strips  50x1,1,No(s),1115,3
28,17,Accuchek Active Meter,1,No(s),1124,2
29,9350,Accuchek Active Softclix Lancet  1x25,1,No(s),125,4
30,71939,Accuchek Active Test Strips   1x100,1,No(s),1966.88,1
